r_no	pu_no	r_content	r_star
66	66	평범한 제품, 기대 이하였습니다.	1
67	67	품질은 좋으나 배송이 늦었습니다.	1.5
68	68	평범한 제품, 기대 이하였습니다.	2
69	69	평범한 제품, 기대 이하였습니다.	2.5
70	70	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3
71	71	우수한 품질, 다시 구매할 거예요!	3.5
72	72	평범한 제품, 기대 이하였습니다.	4
73	73	품질은 좋으나 배송이 늦었습니다.	1
74	74	우수한 품질, 다시 구매할 거예요!	5
75	75	평범한 제품, 기대 이하였습니다.	0
76	76	제품에 만족하지 못했습니다.	1
77	77	우수한 품질, 다시 구매할 거예요!	1.5
78	78	평범한 제품, 기대 이하였습니다.	2
79	79	품질은 좋으나 배송이 늦었습니다.	2.5
80	80	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1
81	81	우수한 품질, 다시 구매할 거예요!	3.5
82	82	우수한 품질, 다시 구매할 거예요!	3
83	83	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4.5
84	84	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	5
85	85	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	0
86	86	제품에 만족하지 못했습니다.	1
87	87	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1.5
88	88	우수한 품질, 다시 구매할 거예요!	2
89	89	평범한 제품, 기대 이하였습니다.	2.5
90	90	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3
91	91	평범한 제품, 기대 이하였습니다.	3.5
92	92	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4
93	93	품질은 좋으나 배송이 늦었습니다.	3.5
94	94	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	5
95	95	품질은 좋으나 배송이 늦었습니다.	2.5
96	96	우수한 품질, 다시 구매할 거예요!	4.5
97	97	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1
98	98	우수한 품질, 다시 구매할 거예요!	0
99	99	품질은 좋으나 배송이 늦었습니다.	2
100	100	품질은 좋으나 배송이 늦었습니다.	0
101	101	평범한 제품, 기대 이하였습니다.	0
102	102	평범한 제품, 기대 이하였습니다.	1
103	103	우수한 품질, 다시 구매할 거예요!	1.5
104	104	품질은 좋으나 배송이 늦었습니다.	2.5
105	105	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3
106	106	평범한 제품, 기대 이하였습니다.	3.5
107	107	평범한 제품, 기대 이하였습니다.	4.5
108	108	우수한 품질, 다시 구매할 거예요!	5
109	109	제품에 만족하지 못했습니다.	1
110	110	품질은 좋으나 배송이 늦었습니다.	1.5
111	111	평범한 제품, 기대 이하였습니다.	2
112	112	우수한 품질, 다시 구매할 거예요!	3
113	113	품질은 좋으나 배송이 늦었습니다.	3.5
114	114	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4
115	115	품질은 좋으나 배송이 늦었습니다.	5
116	116	평범한 제품, 기대 이하였습니다.	0
117	117	품질은 좋으나 배송이 늦었습니다.	1
118	118	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1.5
119	119	우수한 품질, 다시 구매할 거예요!	2
120	120	우수한 품질, 다시 구매할 거예요!	2.5
121	121	품질은 좋으나 배송이 늦었습니다.	3
122	122	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3.5
123	123	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4
124	124	우수한 품질, 다시 구매할 거예요!	4.5
125	125	제품에 만족하지 못했습니다.	5
126	126	품질은 좋으나 배송이 늦었습니다.	1
127	127	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1.5
128	128	제품에 만족하지 못했습니다.	2
129	129	품질은 좋으나 배송이 늦었습니다.	2.5
130	130	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3
131	131	평범한 제품, 기대 이하였습니다.	3.5
132	132	평범한 제품, 기대 이하였습니다.	4
133	133	품질은 좋으나 배송이 늦었습니다.	4.5
134	134	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	5
135	135	우수한 품질, 다시 구매할 거예요!	0
136	136	우수한 품질, 다시 구매할 거예요!	1
137	137	평범한 제품, 기대 이하였습니다.	1.5
138	138	평범한 제품, 기대 이하였습니다.	2
139	139	평범한 제품, 기대 이하였습니다.	2.5
140	140	품질은 좋으나 배송이 늦었습니다.	3
141	141	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3.5
142	142	품질은 좋으나 배송이 늦었습니다.	4
143	143	제품에 만족하지 못했습니다.	4.5
144	144	평범한 제품, 기대 이하였습니다.	5
145	145	제품에 만족하지 못했습니다.	0
146	146	제품에 만족하지 못했습니다.	1
147	147	제품에 만족하지 못했습니다.	1.5
148	148	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	2
149	149	제품에 만족하지 못했습니다.	2.5
150	150	제품에 만족하지 못했습니다.	3
151	151	제품에 만족하지 못했습니다.	3.5
152	152	평범한 제품, 기대 이하였습니다.	4
153	153	평범한 제품, 기대 이하였습니다.	4.5
154	154	평범한 제품, 기대 이하였습니다.	5
155	155	평범한 제품, 기대 이하였습니다.	0
156	156	제품에 만족하지 못했습니다.	1
157	157	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1.5
158	158	품질은 좋으나 배송이 늦었습니다.	2
159	159	품질은 좋으나 배송이 늦었습니다.	2.5
160	160	평범한 제품, 기대 이하였습니다.	3
161	161	평범한 제품, 기대 이하였습니다.	3.5
162	162	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4
163	163	품질은 좋으나 배송이 늦었습니다.	4.5
164	164	제품에 만족하지 못했습니다.	5
165	165	품질은 좋으나 배송이 늦었습니다.	0
166	166	우수한 품질, 다시 구매할 거예요!	1
167	167	우수한 품질, 다시 구매할 거예요!	1.5
168	168	품질은 좋으나 배송이 늦었습니다.	2
169	169	제품에 만족하지 못했습니다.	2.5
170	170	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3
171	171	품질은 좋으나 배송이 늦었습니다.	3.5
172	172	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4
173	173	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4.5
174	174	우수한 품질, 다시 구매할 거예요!	5
175	175	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	0
176	176	품질은 좋으나 배송이 늦었습니다.	1
177	177	제품에 만족하지 못했습니다.	1.5
178	178	제품에 만족하지 못했습니다.	2
179	179	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	2.5
180	180	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3
181	181	우수한 품질, 다시 구매할 거예요!	3.5
182	182	품질은 좋으나 배송이 늦었습니다.	4
183	183	제품에 만족하지 못했습니다.	4.5
184	184	우수한 품질, 다시 구매할 거예요!	5
185	185	우수한 품질, 다시 구매할 거예요!	0
186	186	품질은 좋으나 배송이 늦었습니다.	1
187	187	품질은 좋으나 배송이 늦었습니다.	1.5
188	188	평범한 제품, 기대 이하였습니다.	2
189	189	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	2.5
190	190	우수한 품질, 다시 구매할 거예요!	3
191	191	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3.5
192	192	제품에 만족하지 못했습니다.	4
193	193	우수한 품질, 다시 구매할 거예요!	4.5
194	194	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	5
195	195	우수한 품질, 다시 구매할 거예요!	2.5
196	196	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4.5
197	197	제품에 만족하지 못했습니다.	4
198	198	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	0
199	199	품질은 좋으나 배송이 늦었습니다.	2
200	200	품질은 좋으나 배송이 늦었습니다.	0
201	201	우수한 품질, 다시 구매할 거예요!	2
202	202	평범한 제품, 기대 이하였습니다.	1
203	203	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1.5
204	204	우수한 품질, 다시 구매할 거예요!	2.5
205	205	품질은 좋으나 배송이 늦었습니다.	3
206	206	평범한 제품, 기대 이하였습니다.	3.5
207	207	제품에 만족하지 못했습니다.	4.5
208	208	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	5
209	209	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1
210	210	평범한 제품, 기대 이하였습니다.	1.5
211	211	제품에 만족하지 못했습니다.	2
212	212	품질은 좋으나 배송이 늦었습니다.	3
213	213	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3.5
214	214	제품에 만족하지 못했습니다.	4
215	215	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	5
216	216	우수한 품질, 다시 구매할 거예요!	0
217	217	품질은 좋으나 배송이 늦었습니다.	1
218	218	제품에 만족하지 못했습니다.	1.5
219	219	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	2
220	220	품질은 좋으나 배송이 늦었습니다.	2.5
221	221	제품에 만족하지 못했습니다.	3
222	222	품질은 좋으나 배송이 늦었습니다.	3.5
223	223	평범한 제품, 기대 이하였습니다.	4
224	224	품질은 좋으나 배송이 늦었습니다.	4.5
225	225	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	5
226	226	우수한 품질, 다시 구매할 거예요!	1
227	227	품질은 좋으나 배송이 늦었습니다.	1.5
228	228	품질은 좋으나 배송이 늦었습니다.	2
229	229	우수한 품질, 다시 구매할 거예요!	2.5
230	230	품질은 좋으나 배송이 늦었습니다.	3
231	231	우수한 품질, 다시 구매할 거예요!	3.5
232	232	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4
233	233	평범한 제품, 기대 이하였습니다.	4.5
234	234	우수한 품질, 다시 구매할 거예요!	5
235	235	품질은 좋으나 배송이 늦었습니다.	0
236	236	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1
237	237	우수한 품질, 다시 구매할 거예요!	1.5
238	238	품질은 좋으나 배송이 늦었습니다.	2
239	239	제품에 만족하지 못했습니다.	2.5
240	240	우수한 품질, 다시 구매할 거예요!	3
241	241	우수한 품질, 다시 구매할 거예요!	3.5
242	242	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4
243	243	평범한 제품, 기대 이하였습니다.	4.5
244	244	평범한 제품, 기대 이하였습니다.	5
245	245	평범한 제품, 기대 이하였습니다.	0
246	246	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1
247	247	우수한 품질, 다시 구매할 거예요!	1.5
248	248	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	2
249	249	제품에 만족하지 못했습니다.	2.5
250	250	평범한 제품, 기대 이하였습니다.	3
251	251	품질은 좋으나 배송이 늦었습니다.	3.5
252	252	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4
253	253	제품에 만족하지 못했습니다.	4.5
254	254	우수한 품질, 다시 구매할 거예요!	5
255	255	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	0
256	256	우수한 품질, 다시 구매할 거예요!	1
257	257	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1.5
258	258	제품에 만족하지 못했습니다.	2
259	259	평범한 제품, 기대 이하였습니다.	2.5
260	260	제품에 만족하지 못했습니다.	3
261	261	평범한 제품, 기대 이하였습니다.	3.5
262	262	우수한 품질, 다시 구매할 거예요!	4
263	263	우수한 품질, 다시 구매할 거예요!	4.5
264	264	우수한 품질, 다시 구매할 거예요!	5
265	265	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	0
266	266	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1
267	267	품질은 좋으나 배송이 늦었습니다.	1.5
268	268	품질은 좋으나 배송이 늦었습니다.	2
269	269	평범한 제품, 기대 이하였습니다.	2.5
270	270	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3
271	271	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3.5
272	272	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4
273	273	우수한 품질, 다시 구매할 거예요!	4.5
274	274	평범한 제품, 기대 이하였습니다.	5
275	275	평범한 제품, 기대 이하였습니다.	0
276	276	제품에 만족하지 못했습니다.	1
277	277	우수한 품질, 다시 구매할 거예요!	1.5
278	278	제품에 만족하지 못했습니다.	2
279	279	제품에 만족하지 못했습니다.	2.5
280	280	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3
281	281	평범한 제품, 기대 이하였습니다.	3.5
282	282	제품에 만족하지 못했습니다.	4
283	283	평범한 제품, 기대 이하였습니다.	4.5
284	284	제품에 만족하지 못했습니다.	5
285	285	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	0
286	286	평범한 제품, 기대 이하였습니다.	1
287	287	품질은 좋으나 배송이 늦었습니다.	1.5
288	288	제품에 만족하지 못했습니다.	2
289	289	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	2.5
290	290	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3
291	291	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3.5
292	292	평범한 제품, 기대 이하였습니다.	4
293	293	우수한 품질, 다시 구매할 거예요!	4.5
294	294	우수한 품질, 다시 구매할 거예요!	5
295	295	우수한 품질, 다시 구매할 거예요!	2.5
296	296	우수한 품질, 다시 구매할 거예요!	4.5
297	297	우수한 품질, 다시 구매할 거예요!	4
298	298	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	0
299	299	제품에 만족하지 못했습니다.	2
300	300	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	0
